,Customer_Name,Date,Ratings,Review_Title,Reviews,Product_name,Price
0,Tech nerd,"November 13, 2020",5.0 out of 5 stars,Lightest laptop I have ever owned!,"Don't believe the negative reviews! This is a great laptop.The best thing about this laptop is the screen then the weight. The Qled screen is absolutely the best LCD screen on the market with superior brightness, saturation and color accuracy. The 13.3"" size screen in full HD is just beautiful and I believe they have applied an anti-reflective coating on the glass screen. So even though the screen is glossy there is very little refraction. The Ion is the only model with this AR coating. It is very similar to the 13"" macbook pro screen but not as high resolution. In other words unless you have an OLED panel you will not find a better looking screen on any other laptop!!The performance of this device is actually very good but I really think they could have used AMD Ryzen processors with much better results. The i7 this laptop uses is fast but it is not on the newer 10nm architecture which I would have preferred. I would have also preferred 12gb ram as a base for all models. All of that being said this thing is very fast for what it is. My complaints are more about future proofing. For what I use this laptop for it is very fast.Now to the build quality and other features. The build and design of this laptop is one of my favorites of 2020. It has excellent industrial design and minimal bezels. Fit and finish are very good but not perfect. The silver finish is very good at resisting fingerprints. The keyboard is excellent. The glass trackpad is also excellent and can charge your phone!Battery life is also very good. The claims by Samsung are inflated as are all battery life claims on a laptop but what I can say is for an ultra portable the 69 watt hour battery is very large and will get your through a solid day. That is with screen brightness on high, cpu performance set to high.The speakers on this laptop are great and get very loud and have a good amount of bass. You have to get updates for the drivers in samsung update and then adjust the settings in realtek audio console but once you do the sound is amazing. I look at how small this thing is and the sound coming out of it and I am impressed.To wrap it all up this is one of my favorite laptops to use. It is not a speed demon but it can handle it's own, it is super light and portable with great battery life. It does everything I need it to do and has a decent selection of ports including a thunderbolt 3 port. The fit and finish and design are all great. I really like the magnesium build. It does have some flex here and there because it is not using a thick piece of aluminum but a thinner stronger piece of Magnesium. I would just say that you should look for sales. The full retail price is too high IMO but the sale price is a good value considering the features you can only get in this laptop and the competition in the same price range.Samsung has really done an excellent job with it's offerings this year. I am very excited to see what is to come. Just add more ram next time!!",Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
38,Meliodas47,"July 22, 2020",5.0 out of 5 stars,Lightweight and Qled,The screen quality is amazing its really colorfull and sharp.,Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
39,Farid K.,"November 3, 2020",5.0 out of 5 stars,Fast like roadrunner,Light weight,Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
40,Ilia S Geltser,"December 31, 2021",1.0 out of 5 stars,Broke after 14 months of moderate use,"Light, beautiful. The shortest lasting computer from about 20 that I or my family has owned in the past 30. Stopped working completely after 14 months. Does not respond to start button, does not power up.",Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
41,Joseph Fu,"October 11, 2021",1.0 out of 5 stars,False information on hardware,"I chose this product because it has a i7 10th Intel CPU. However, I found that the laptop I got only have an i5 10th processor that had installed! That is so mean!",Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
42,London Fire Department,"July 13, 2021",1.0 out of 5 stars,screan,"We have only had this computer since October 14, 2020, and last week the screen went out. After researching this computer mine is not the only one that this has happened to.",Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
43,John Fleisher,"August 15, 2021",1.0 out of 5 stars,Pay attention to processor,This is a quality piece of hardware but the listing says I7 processor. I received and I5. Return initiated.,Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
44,"Dr. Jerry Parks, National Teacher's Hall of Fame, 2009","June 11, 2021",5.0 out of 5 stars,“Simply the nicest laptop I’ve ever owned. Period.”,"I currently own six laptops, and have owned Latitudes, Elitebooks, XPS models, Pavilions, Surface Pros, Thinkpads, Envy’s, etc. This is the finest one I’ve ever owned, even though I never imagined buying a Samsung laptop!First off, it’s so very light. Secondly, I’ve never seen, much less owned, a screen so bright and deeply saturated. And when it turns on (about 4 seconds), and you hit F10, the colors go from gorgeous to unbelievable. Yes, the screen brightness is what I love most. And to get that Samsung QLED screen on steroids, well, it is unparalleled in color brightness. The high-end Elitebook with the 1000-nit screen was close, but it had what I call a ‘rolling shadow’ every time the screen was moved forward or backward. Not a flaw, just the way many were made. Not on the ION. Move that lid backward or forward and no ‘shadow’…ever.This bright screen does not hurt the battery much, either. The laptop won’t get 21 hours, but with fine-tuning it will last many hours. As others have noted, the sound is not great, but who really buys a laptop depending on its sound. I also love the tiny lighted (!) AC plug-in to the laptop, and the blazing-fast fingerprint reader is flawless.The 10th Gen. i7 processor just flies. Files copy really fast, and everything moves like it was 2023! Size-wise this thing is THIN. Slips into virtually any purse or protective case as smooth as butter. More than once I thought I was pulling out my iPad.  The keyboard isn’t a Latitude, but it’s a pleasure to use. Brightly lighted too.Small negatives—the fan runs constantly, and the bottom gets pretty warm, even with the roll-under screen edge meant to increase airflow. Also, it’s not as inexpensive as others like it—especially now with a chip shortage. But that’s just the point. The Galaxy ION isn’t like others. It’s QUALITY Samsung-built, and much nicer than the Galaxy Flex. No comparison. And it doesn’t hurt that the reliability of Samsung laptops has moved them up considerably.Again, this is the nicest (and brightest!) laptop I’ve ever owned. And the lightest. I can’t find much about it to complain about. And…it’s beautiful!",Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
45,Josh,"October 15, 2020",5.0 out of 5 stars,Great for basic gaming!,"Pros:+ Extremely lightweight and quiet.+ Supports external graphics (eGPU) via Thunderbolt 3, meaning you have the ability to play modern games (but this will cost $300+ extra).+ Screen is GORGEOUS. Super bright, colorful, and everything you would expect from a Samsung display.+ Battery life is outstanding, but definitely activate battery saver mode and charge to 100% if you plan to be out all day.+ Headphone jack!+ Processor is plenty powerful to even do video editing/rendering with 1080p source material.+ Keyboard/trackpad is a joy to use and type on.Cons:- Track pad charging is finnicky and mostly a gimmick, but could come in handy if you forgot your cable somewhere.- No upgradeability options for the 13"". I would only recommend the 15"" because you can expand RAM/storage down the road.- Upgrading the 15"" is extremely challenging because of the small screws. I stripped mine and had to take it to a computer shop to replace them.- Weak sound speakers. Prepare to use headphones or listen in a quiet place.- No graphics card on the North American version. Asian version gets the MX250 GPU, which would have been nice to have that option.Beware: the Ion does not come with a dedicated graphics card. The onboard graphics (part of the CPU) is, however, fully capable of playing simple or older games (think PS2 or PS3/Xbox 360 era). I am able to play Rainbow Six Vegas 2 at max resolution (1080p) and medium settings at ~30 fps.However, if you want to play anything more recent or intense (like Call of Duty: Modern Warfare), you'll need to get an eGPU, which works well using the Thunderbolt 3 connection. It is an extra thing to carry around when traveling, but at least you have the option to carry/travel light, then play some great games when you are home.I recommend the 15"" version because it gives you the option to increase its internal storage/RAM. The 512 GB SSD goes very quickly. RAM is also very cheap these days, and you can literally double the RAM for only $30. However, if you have no desire to do much beyond watching video, writing e-mail, using Microsoft Office Suite, etc, the 13"" is plenty capable.Final thoughts: I have been a long-time Samsung fan, and I continue to be after buying the 15"" Ion. Any complaints I have are extremely minor and have a way of getting around them. I sold my 2015 desktop computer that I purchased for about the same price, and I wish I started getting into modern laptops sooner. The solid state storage is game-changing, and the laptop is plenty powerful enough to game if you buy an eGPU (I got the Sonnet Breakaway Puck RX 560, which is decent but I plan to upgrade that).Hopes for Samsung to improve the Ion 2.0: advertise it, add customizability options for North America, and include a dedicated GPU. Even if they change nothing else, I would be plenty happy.9/10 :-)",Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
46,Ryan Leahey,"April 19, 2022",1.0 out of 5 stars,Sound sucks on this computer so unless you plan on using headphones all the time don't buy this.,Sound Sucks!!!!!!!,Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
47,Vedran Simic,"June 18, 2020",4.0 out of 5 stars,Battery life is a lie,"First thing, please do not purchase from Amazon due to price being $200 more then what the item retails at. Bought mine from brick and mortar store for under $1000.Second, the battery that it has advertised as up to 22 hours is a joke. The unit cannot get more than 5-8 hours of conventional use. I do not know what they used to determine the battery life but do not rely on this at all. Performance is okay, even for an i7, it is struggling against the Ryzen 5 4600U processor. Reason how I know is I actually have the ryzen machine and it is doing laps around this machine.Screen does look good. Sometimes too good. Samsung is always known to over saturate the displays on anything they make.  Speakers on the other hand are sort of...mediocre at best. At max volume, the sound sort of sounds hallow, not full and rich. Even though they state that it has been tuned by AKG, this speakers are terrible. I honestly cannot recommend this laptop.",Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
48,ScottS,"February 23, 2021",5.0 out of 5 stars,"Incredibly light, beautiful screen.  Keyboard just OK.  Audio range is good but volume-limited","Really have grown to love this notebook in the 2 weeks I've had it.  Replaced another Samsung (Series 9) ultra light, but this one is even lighter (just a smidge over 2 pounds).Extremely fast too!  I love booting up from scratch in seconds and almost instantly from sleep.  Fingerprint reader works very well, and adds a nice level of security.The keyboard seems slightly wider than my series 9, which takes a bit of getting used to.  Typing is quiet, which will please an office-mate, but the keys don't have the heavy duty feel which writers like me appreciate.  Still, not bad, and I sure love the 10+ hour battery life!",Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
49,Kindle Customer,"September 28, 2020",5.0 out of 5 stars,"POWERFUL, It can do everything","I bought this laptop from Samsung on their website. It is incredible. I have been able to hook up my legato HD60S and stream games from streamlabs OBS with no issues, I have downloaded Affinity Photo and Photoshop, I use Filmora software for video editing and it works fine with no lag and no issues whatsoever.This is a great laptop.I have had no issues with the SPEN working. The speakers to me are fine. I bought an anker Bluetooth speaker and use that when I want really really loud sound but even then. The speakers are ok for regular daily use.I haven't gamed on it really - I have played games via elgato on my PS4 and Switch but not from like downloaded PC games.. so I cant say about that. but the Intel iris plus graphics are strong enough for all my daily needsIt integrates with my Samsung phone really nicely too. I get all my texts, calls ect right on my computer and it is super easy to drag and drop pictures ect on here.I would say to get you additional USB 2 to USB C adapters since there are no old school USB 2.0 ports.But if you are on the fence, get this one!",Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
