,Customer_Name,Date,Ratings,Review_Title,Reviews,Product_name,Price,Category
459,Hack88,2010,4,Bargain Notebook,"I purchased the D620 for my daughter in college when her 2 yr old HP notebook died due to an overheating problem (long story).  After verifying that the D620 worked properly by connecting to the internet and installing XP SP 3, I moved over one of the RAM chips (for a total of 1.5 GB) and the harddrive from the HP.  I then installed Windows 7 and recovered her data files (I didn't really expect a college student to use the flash drives that I gave her for backups). Finally, I installed software including Office 7.  Throughout the process the D620 performed flawlessly.  I tested it by running DVDs, Office apps and videos over the internet (after I set up a wireless connection).  This is one fine notebook, very fast and with a good display.  Its only ""short comings"" are obvious from the specs, i.e., no web cam, no media slots and no DVD burner.  But these are clearly minor issues given the price.",Dell D620 Laptop Duo Core with Windows XP,132,dell
460,Mike M,2014,4,A bit old but still gets the job done.,First off let me say I am no tech professional but I can comment on what I know This laptop is a bit old but still dose the job. My only problem with this laptop is that it is running Windows XP which Microsoft has stopped supporting and many websites will not let you in because this os is outdated. That being said this laptop is compatible with Windows 7 and maybe even Windows 8 you just have to do an upgrade. The upgrade can be tricky and is costly but worth it if you use the internet a lot. If you need a cheap/starter laptop than this one is great aside from the os I have not had any issues and use it all the time. Me and my wife are happy with this laptop ( for now ),Dell D620 Laptop Duo Core with Windows XP,132,dell
461,Space Salamander,2014,4,You Can Upgrade to Windows 7 or 8,"This is a good machine-- not screaming fast, not the fanciest features-- but a good performer. I bought it refurbished two years ago, and the only problem was that the battery doesn't hold a charge.However! Now that Microsoft discontinued support for XP, it leaves me in a quandary. You leave yourself open to malware and viruses by keeping XP on there. This machine CAN be upgraded to Windows 7, 8, or 8.1. The specs are good enough. But it is an older machine, leaving me wondering whether it's worth it to buy the new OS or just invest in a newer laptop. I'm not sure yet-- but if you find this one dirt cheap, then I'd suggest it's a worthy investment.",Dell D620 Laptop Duo Core with Windows XP,132,dell
462,steven wolfe,2014,4,"This is one sweet Dell model, but it didn't come with the disc shown in picture...","Overall I'm pretty happy with the laptop. I'm going to have to replace the adapter/charger because not only is the power supply cover broken open but the plug to the a/c power source has a short where the cord attaches to the plug. I've complained about the notice that computer doesn't recognize the USB device popping up all the time but even though they said they would help me, it's been a month and no one has contacted me yet. With Microsoft ending their support of XP right now, I thought for the money I spent on this computer, I'd get better service than this. I think I should at least get a new free adapter/battery charger. The battery lasts about an hour so I will replace that.",Dell D620 Laptop Duo Core with Windows XP,132,dell
463,Paulette H,2013,5,Great Product,"I just want to say I purchased this product from Tampa Laptops in March 2012 and loved it from it arrived.  You know how some laptop keys are kind of stiff and you can't type as fast or smooth as you like, well this one is superb.  I loved it so much that I went crazy a few weeks ago when my laptop crashed probably from a virus.  I emailed for assistance from the seller via Amazon and received a quick response.  The bottom line is I purchased a Dell Restore disk from the seller and I received the very best Technical Support I could have asked for.  James in their Technical Support Team, was patient, thorough, had a great speaking voice and he didn't quit until I got my laptop working again.  That's incredible support, the PC is amazing again, and I would 100% recommend this product to anyone who wants to buy a laptop and I would 100% recommend the seller.  I am very happy.  5 stars for the Laptop and 5 stars for the support - Thanks James.",Dell D620 Laptop Duo Core with Windows XP,132,dell
464,L. Sparkles,2014,1,Treat others the way you would like to be treated,"This company enclosed a letter with this laptop asking for a 5 star rating stating there customers were important to them and asked to contact them first with an issue. Alas I cannot comply. I have not contacted them as I don't see a reasonable resolution to my issue. This laptop is virtually worthless to me as when I received it in July, I instantly received a prompt when turning it on. It said that windows XP will no longer be supported after that very month, July of 2014. I would have to upgrade to windows 8.1 or expect to be targeted by a virus. I subsequently found out it would cost me around $230.00 to buy the upgraded software and have it installed. So this deal was no deal at all. If this company had been forth coming about this issue in the write up I certainly would not have purchased it. I'm normally a Mac girl and this windows issue was unknown to me. So there ya go... Stuck with a worthless laptop unless I want to go through the ordeal of trying to return it, at my cost, PLUS that ridiculous made up meant to take more of your money 'restocking fee'. In my opinion this company is not above board. Anyone can give lip service in a letter, but we know ye by your actions. Or in my case lack there of. This is my review, now they should review there integrity as a company. Treat others the way you would like to be treated. Thank you",Dell D620 Laptop Duo Core with Windows XP,132,dell
465,Devhog,2017,4,Nice computer for price,"Good buy for the money. Good customer service....just beware that it does not have a camera....it appears it did in the listing. Company claimed that is the way Amazon makes them list it.....with other computers that DO have camera....he offered refund (which was great), but I held on to it & it has been a great computer. It is a bit heavy, but is durable as it has hit a carpeted floor a few times. May also need to buy a $10 battery replacement after couple years....no biggie.",Dell D620 Laptop Duo Core with Windows XP,132,dell
466,Ricky Epperson,2020,4,Great for the price,"I bought this cheap laptop for my daughter to do her distance learning for school. For the price, I am impressed with this little laptop. It was refurbished and came ready to use. Overall, great purchase for 80ish bucks.",Dell D620 Laptop Duo Core with Windows XP,132,dell
467,Patricia Thompson,2021,3,Doesn't work properly,I haven't written because I have been trying to get windows 8 to work. If I could return it I would!,Dell D620 Laptop Duo Core with Windows XP,132,dell
468,Angie,2014,5,The best investment I have made in yr's.,"I ordered this computer on Thursday and the very next Monday I received my computer. I am very happy with what I received. I was not expecting it until the following week. I thought it was coming UPS however it came reg. mail carrier. I was happy with that because of the fact I did have to sign for it. I am an avid face book gamer and from what I see so far I will have no problem's with it. I would recommend it very much. I do however have to get anti virus for the computer but then again I planed on that anyway. My husband is a computer guy and he has looked it over and said "" Honey you did very good with this computer"" Now I am ordering him a computer next month when I have another $125.00 As far as any other games I am not sure of yet but I am sure will have no issues there either.",Dell D620 Laptop Duo Core with Windows XP,132,dell
469,Ray Ray,2011,5,personal experience wasnt the best even after reading previous reviews,Everything was fine with the computer- you can defiantly tell its used with minor scratches(I expected that b/c its a refurb). The main thing that upset me was that the battery did not hold a charge at all. The computer would die as soon as I unplugged it. The reason why I didn't send it back is because it stated returns are at the buyers expense if anything was faulty. So it is cheaper to buy an new battery for it and charger cause that was faulty as well. Sooo i guess that's the thing with buying electronics online you never really know what your going to get- didn't help this was my first time. but other than those two main things its working fine so far.and an update- I reached out the the sender and they are sending me a battery. They were very prompt with replying and offered to take care of it. So I was very happy that they were very nice and willing to help me by sending me a new battery. Very happy!,Dell D620 Laptop Duo Core with Windows XP,132,dell
470,HARRY HANSON,2011,4,Why Buy New????,"I have to say I am very pleased with my purchase of this refurbished Dell D620. It was shipped free and arrived in great condition. The Latitude is great not having all the blotware that the Insprion retail units come with. If you are like me and concerned about buying a refurbished laptop, I am here to tell you this was my first and will not be my last. It is a great way to save 60%+ over buying new. The only negative I can come up with is that the battery doesn't hold much of a charge lasting only about an hour. I highly recommend buying from Tampa-Laptops. They were very helpful with a few questions I had after the unit was delivered.",Dell D620 Laptop Duo Core with Windows XP,132,dell
471,ROFLCOPTER,2012,5,Extremely Pleased!,"First of all, if they happen to read this, thanks to the  Tampa-Laptops.  I was looking for an inexpensive laptop for my personal use and these guys came through.  I've had this computer for 4 months and still running smoothly.  The only flaw in this computer it gets very hot and once it does it goes off.  The high point when it does shutdown and wait few moments after rebooting (always press the F1 key)--everything is saved -- thankfully!  My computer is running on a Windows 7 and glad for it.  My desktop is Windows Vista and like most who share my opinion it's terrible.  My memory is also running 2.00GB; Hard drive is 93.0GB (w/estimate of 120GB drive inside), if you want to upgrade some of these features you can definitely do themselves or get someone else to do them for you -- just becareful.  Overall very pleased with my purchase for an $183 bucks it was well spent!",Dell D620 Laptop Duo Core with Windows XP,132,dell
472,BAM,2016,3,Dell D620 Laptop Duo Core with Windows XP is not longer supported...,"Purchased refurbished units for my two grand kids to use in school and at BAMikler Summer Camp.  They are great!  Just that no support available for Windows XP now! The only issues I have had was with the battery not holding a charge and the short life span of the AC adapter charger.  The computer only is good for an hour and you have to plug in the charger.  It has worked well for the grand kids for a year now with no other issues.  Looking to soon upgrade, preferably to new ones!",Dell D620 Laptop Duo Core with Windows XP,132,dell
473,Christina Hodge Parks,2019,4,Great labtop for a kid/toddler,"My daughter uses this to surf You-Tube. We ordered and put a plastic cover that fits exactly over the keyboard and it keeps her from popping out the keys. Also protects from spills. This works great. My only complaint is that it didn't come with a new enough version of Windows, so I had to pay to get it installed.",Dell D620 Laptop Duo Core with Windows XP,132,dell
474,jesswhite22,2013,4,Everything is.great so far!,I received my lap top in less than 2.weeksnand it is in great condition with the exception of a few tiny scratches on the cover. Wifi has connectednwithout a problem. If you plan on using it battery only sometimes I recommend ordereing a new one when u purchase this laptop. Mme would not turn on unless it was plugged in no matter how long I charged it so save some money on extra shipping and buy the battery at the same time.  It is very lightweight also. Ive had it for a month so I hope t continues to be a great find as it was a great deal.,Dell D620 Laptop Duo Core with Windows XP,132,dell
475,Stephanie,2021,5,Great Quality,This is a great laptop.  I wanted something with Windows XP so I could play some old cd games that are not able to be played on current Windows.  It looks barely used.  Very happy with my purchase.,Dell D620 Laptop Duo Core with Windows XP,132,dell
476,Joeresio,2020,3,I got this hoping to use my old software,"I have some old programs I wanted to use that ran 98, XP and ME... for some reason it does not work on here. Good laptop though.",Dell D620 Laptop Duo Core with Windows XP,132,dell
477,Rosalind M. Irvine,2013,3,Not quite what I was looking for,"I received this in a timely manner, but the back light in the monitor was out when I turned it on for the first time.  When I called to let them know they told me I had to send to get it fixed and I had to pay to send. I decided at that time just to return because I'm not quite sure if I was going to keep it. So I just returned it, which I had to pay for. Just because they didn't provide a return label and I had to pay for it I would not order from them again. However they were very courteous when contacted and gave me no problem to return.",Dell D620 Laptop Duo Core with Windows XP,132,dell
478,Renetta McClee,2013,2,Big disaster,"I just received this item, yesterday, and after anxiously awaiting its arrival...I wish I had saved my money and put it on a better laptop. I know you get what you pay for but I would've tolerated almost any other minor problem but the screen being messed up. From the time I took it out of the box to just now, the screen would show all these lines up and down it unless you pressed down on it with your thumb. As soon as you removed your thumb, it would do the same thing, making it impossible for you to type or move the cursor. The only time I could type is when I held the corner of the screen with my thumb, which is ridiculous! I am planning to contact the seller on Monday and see if I can arrange to ship this ""thing""back to them and get a refund. I would accept a laptop in much better shape in exchange for this one but I don't trust that they will send one any better.",Dell D620 Laptop Duo Core with Windows XP,132,dell
479,WI,2013,4,Great buy!,"The computer arrived in a timely fashion, ordered from Tampa-Laptops.  However, the hard drive was failing and the battery was dead.  I called the shipper and received credit for a new battery (which I ordered and works well) and the hard drive was replaced with one of better quality.  I also requested no OS which was honored.  The guy at Tampa-Laptops was friendly and helpful. I now use this computer on a daily basis.  It stays cool under extended use and meets my needs.  A great buy for those on a budget!",Dell D620 Laptop Duo Core with Windows XP,132,dell
480,monet,2012,4,Pretty Epic,"I would highly recommend the lat d620 for anyone that just needs a laptop for the internet and maybe even school.mine arrived 3 days after i ordered it, exactly as it was decribed. very fast computer, in good condition. its notflashy fancy smancy like alot of the ones that you see lately but it def gets the job done.THE ONLY NEGATIVE THING I WOULD SAYis that it does get rly hot very fast and i do not think that it has a fan. but itsgood stuff go ahead and order it.",Dell D620 Laptop Duo Core with Windows XP,132,dell
481,Jill,2012,4,Good customer service follow up,"Despite a customer service hiccup it seems this company went the extra step to do what's right.  Ethics count.  The lap top was exactly as described although dirty.  I spent about 35 minutes cleaning the dried coffee or cola then it was perfect!  I am still waiting for the final out come on the customer service part.  If it pans out I will increase my ratings.  As it is now, I am satisfied with the purchase.The customer service part has been fulfilled to my satisfaction.  I am pleased my opinion counted.",Dell D620 Laptop Duo Core with Windows XP,132,dell
482,Mary,2012,3,Dell D620 Laptop,"The Laptop was received quickly. It was packaged well. It works and the battery holds a charge well. The charger works well also. The only issue I have is the seller(Open Electronics) specifically, in all capital letters, said the screen had no dead pixels but it has several. They also said , in all capital letters that there are no bad sectors. Since the screen has dead pixels I am skeptical about the lack of bad sectors.Over all I am mostly satisfied with the purchase. The dead pixils are scattered and barely effect the image. The response time is fast also. The CD and DVD player functions work well.",Dell D620 Laptop Duo Core with Windows XP,132,dell
483,D. Caine,2013,5,Customer Service earned these stars!,"We bought this laptop reconditioned from Jeremy's Laptops here on Amazon.  The laptop is just fine and serves its purpose -- it was a Christmas gift to our teenage daughter who is aspiring to be a writer.  What impressed me here was the customer service we received.  After receiving the laptop, we had a little problem with it, so I posted a question to the seller through the Amazon site and received, not only a response, but a personal phone call from Jeremy --- on the same day that I posted the question!  Jeremy was very easy to work with and clearly puts customer service at the top of his list :)  Did I mention that phone call he made to us was while he was on vacation during Christmas?  I would most definitely purchase from this seller again.",Dell D620 Laptop Duo Core with Windows XP,132,dell
484,L. Carter,2011,3,Dell D620 Laptop Duo Core with Windows XP,"Received this as a Christmas present and as soon as I Iogged on to the internet it said it had a virus and shut me down.  I have not been able to get it to do anything since.  I am not sure how it works.  When I get it fixed and a virus protection product installed I will try the computer again. Until then I can't even use it!!  The screen looked nice and the desktop was okay - the letter ""A"" on the keyboard was rubbed off but not a big deal since I know how to type.",Dell D620 Laptop Duo Core with Windows XP,132,dell
485,ROBERT A.,2013,5,"Had to Replace It, But Quick Turnaround","OK. The first one I received was defective but upon calling and speaking personally to Paul G.(PG Computers), he offered me an upgrade of more RAM or Win7. After I returned the bad unit, (yes I had to pay the postage), he sent me a new one with the upgrade.He even e-mailed me the tracking no.#.  It came quick (3 days).  As to the laptop, it's a sweet machine. WIFI, Buetooth, plenty o' 15"" screen, USB ports,DVD RW!  OK, it's an off lease refurb, and it's probably about 6-7 years old, but it's still fast, runs good, looks new, and best of all, it was under $150.  Paul made the experience extremely rewarding, I'm looking into buying more stuff from his company. His prices and his service are that good.  Alan M.",Dell D620 Laptop Duo Core with Windows XP,132,dell
486,Dakota,2014,4,Runs Great,"Even though it is an old computer (2006), this computer still runs great. I bought a refurbished one from the seller, and it runs great. Everything was exactly how they said it would be except for it didn't come with Google Chrome. i am pretty satisfied. I've had it for over a month and haven't had any problems that weren't able to fixed quickly and easily. The lid locks shut, so it is easy for me to store it without worrying about it opening up and dirt getting on the screen.",Dell D620 Laptop Duo Core with Windows XP,132,dell
487,SaneOne,2013,5,Great price and great quality,"My larger Dell laptop and my little Dell Latitude Notebook both died within weeks of each other.  Mother boards.  Too expensive to fix especially given the age and condition of the computers.  I also have a Mac, but wanted to continue to manage my photos and videos on a pc.  Didn't want to learn new O/S, etc., and this one came with 7 / XP.  Looks like new.  Runs quieter than my old ones.  Great price.  Not sure I will ever buy new again, when refurbished is so good and so inexpensive.  P.S.  My apologies to the potential buyer who questioned me as to how many USB ports this has.  I said 2 on the back.  Oops!  There are 2 more on the right side, for a total of 4.",Dell D620 Laptop Duo Core with Windows XP,132,dell
488,Alex Humble,2012,5,Very good affordable laptop,"It is a very good product. I bought it because I needed serial port, which is very rare in modern laptops. There are lots of USB to serial adaptors on sale, but they mostly incompatible. I created DOS partition on harddrive because my obsolete program was DOS based, but then I discovered that the program worked very well from Windows XP also. I had very bad experience before running my obsolete program on laptops so I simply did not expect such great compatibility! Besides this I use the laptop for my high definition video, which requires a powerful computer. The video runs very smoothly with really high quality. The battery also is very good. It lasts almost forever. The option of additional battery instead of CD/DVD drive is also a very good feature. Indeed it is a great computer and the price is also great!",Dell D620 Laptop Duo Core with Windows XP,132,dell
489,C. Reed,2020,4,No boot issues .,"Very good condition . Booted with no issues . Dvd drive works, great for a service laptop.",Dell D620 Laptop Duo Core with Windows XP,132,dell
490,RT,2015,4,Not Bad...so far!,"It's holding its own, so far. I use the computer in a room with a/c because it heats up pretty fast. I thoroughly cleaned the system, some leftover data and need it defragmentation. Don't adjust the lid to the laptop because the screen will go black. I hope the motherboard isn't the issue. I use an external monitor to resolve the problem but I haven't had any issue when I move the lid.",Dell D620 Laptop Duo Core with Windows XP,132,dell
491,Cynical1,2014,4,the computer works flawlessly and the screen is perfect.,"Four and a half stars for the quality of the product (half point off for scratches), and five stars for the company's efforts to correct a missing item. My recent purchase found a number of cosmetic scratches on the side of the computer and a missing mouse tab/button. However, the computer works flawlessly and the screen is perfect. After speaking with a company rep, they immediately sent a new mouse button. I installed it, and it works fine.",Dell D620 Laptop Duo Core with Windows XP,132,dell
492,Alex Perry,2022,3,Power adapter comes loose,"Power adapter came loose after a few months, so charging is intermittent. No telling what damage this is doing to the battery, let alone the system as a whole.",Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),527,dell
493,Harsh,2021,4,Works fantastic,"Happy to use, very nice laptopNo issues since 2019..",Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),527,dell
494,John Street,2019,4,Buyer beware!  Might not have optical drive,"Be prepared to find your new laptop does NOT have an optical drive installed.  That's what I discovered but only after being a long ways into the setup.  Already had personal info on the machine, set up for email, etc.  After call to Dell [who was not the 3rd party seller, so had no control over this listing] determined this laptop never had one installed coming off the assembly line.  Contacted Amazon who initially offered refund/exchange but I was really reluctant to do that, first of all because I would have had to scrub this one of personal information and second because they couldn't tell me if the missing drive was a one time occurrence or whether all of them being sold by this vendor were without.  Finally they offered me a partial refund to cover the value of the missing drive.  I opted for that and ordered one [refurb] from Dell that I can install.Having said all that, we like the machine and have no other issues at this point other than discovering Windows 10 has eliminated the Homegroup function so I had to do some research on how to connect to our home networked printer.  Not difficult.I'm giving the laptop 4 stars, the seller not so good for the erroneous listing (or item delivered).",Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),527,dell
495,darlene isola,2022,3,Mouse Pad,"It's a decent laptop, however, the mouse pad is not in the center of the laptop.  It's off to the left.  Very inconvenient for a right handed person.  Every time I left click the pad, it's as if I'm right clicking.  I've had this laptop for almost 3 years and hardly use it for personal use because of this.  When I have to work from home it's a nightmare.",Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),527,dell
496,Brenda Helums,2022,5,Very happy,"Was as described and easy to navigate,Very pleased",Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),527,dell
497,Heather,2020,3,Windows 10 in S Mode,"This computer comes with Windows 10 in S Mode, which is similar to a Safe Mode or a parental control mode. It can easily be turned off by going into Settings, Update and Security, Activation, and clicking where it states ""Turn off S Mode."" You will need a Microsoft account in order to do this as you have to download it from the Microsoft Store. Once you do this, you can restart the unit and it will display Windows 10 Home with a fully activated license. We purchased a large number of these to use for my company and it is severely annoying that I have to do these steps to each individual one.Touch screen feels cheap but it does function. I am not thrilled with the LCD-like touchscreen, definitely does not feel sturdy and I am worried that overuse will eventually lead to damages. The seller should be more descriptive in their products but alas, I have no further complaints. It is a fast little machine and installed the updates in a matter of minutes, relatively large updates as well. I was quite impressed with that. All in all, I rate this a 3 because it should be in the description as being Windows 10 in S mode even though there is a work-around to it.",Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),527,dell
498,Manda,2019,3,"Solid laptop- no cd drive, slightly awkward keyboard","I purchased my laptop a few months ago, and have mostly loved it! I have only used the touchscreen a few times, so am learning it's not a priority/necessity for me... maybe if the monitor swiveled so it was more like a tablet? Still a cool feature. I have struggled with the touchpad being slightly off center, so I end up hitting the right-click when I mean to left-click, or my palm touches the pad and messes with the mouse. Also, the keys on the board are about halfway up the keyboard, and spread out. Took a long time to get used to this layout. Most recently I discovered that this laptop doesn't have a cd rom! I didn't even know to look to make sure that it did have one! I thought it was a basic laptop function, but I hear more and more laptops are being created without them. Apparently cd drives allow a lot of dust inside the computer, and often lead to internal errors. External cd/dvd drives can be purchased for pretty cheap.For the most part this is a great laptop- it's just taking some getting used to! If you're picky about laptops, go to a store to feel out the keyboard. Don't know if I will order a laptop online again!",Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),527,dell
499,Mayday P,2022,5,Love this lap too,Beautiful computer . Sleek. Touchscreen is awesome. I bought it for my son as a gift for school. And I wish I got it for myself. His laptop is better than mines,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),527,dell
500,HR,2021,1,Hinge and Screen fell apart after 18 months and had to replace the keyboard - Over $900 spent,"I did not realize that this model did not include a DVD drive so I had to buy one. After less than 18 months, I noticed the right hinge was popping out. That lead to me calling Dell and they were of no use, etc. and wanted $160 to analyze it. I called a local computer tech and that led to needing to replace the keyboard. Now I am faced with not being able to close the lid as the hinge issue has caused the screen to fall apart and separate. I have no idea what the repair will be this time and am faced with having to pay for an extensive body repair or buy a replacement computer. I do not recommend this product or if you do buy it, pay for the extended warranty. I have owned this computer since Dec 2018 and have already put more than $200 into it.April 5, 2021 Update: Today's repair was an additional $265. The tech had to replace the laptop body and said that he has never seen such brittle plastic in his 20 years of experience. Not only did all the little rivet's fall out, but three of the hinge screws were broken out of the plastic. What was even more depressing was that the replacement body's screen is not a touch screen as I had before. Overall, do not buy this unit. I have owned or possessed at least 16 Dells over the years via business and personal use. I am not down on Dell, but this laptop really stinks. I have over $900 invested in this laptop now. Had I had known that I would no longer have a touch screen (my first BTW), I would have just purchased a new laptop.",Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),527,dell
501,MamaKat,2019,5,Tremendous Value,"Thankfully, the listing has been updated to state no optical drive.  When I bought it, it said it had a DVD/RW.  I was disappointed but decided to keep it.  Honestly, I haven't missed the drive.  The touch screen is great.  The picture is great.  Having a solid state drive is GREAT.  Lightning fast even with the bloated, resource hog known as Windows 10.  I game with this laptop and it keeps up pretty good.It's not really a gamer, but it WILL game in a pinch. Dell name, touch screen, ssd, windows loaded, core it, all for under $500.  If you can live without an optical drive (come on, its 2019), it's a fantastic bargain.",Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),527,dell
502,Leon And Antoinette ,2019,4,Product not as described,Product not as described. Order information said Windows 10 Home was installed on the computer. The box said Windows 10 Home. When I turned the computer on it said Windows 10 Pro S mode was installed and it kept prompting me to buy Windows 10 Pro for and additional $199 in order to switch out of S mode. I spent over 3 hours on the phone with Dell Tech Support and Microsoft trying to get the issue resolved. Super frustrating.,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),527,dell
503,Amazon Customer,2019,3,Becareful,,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),527,dell
504,Rickles,2021,5,How to maximize usage,The media could not be loaded.,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),527,dell
505,TECHNolli,2020,5,Did you think it wouldn't be any good?  Well it's EXCELLENT!," I loved this laptop for the first 2 months, then it started having these bubbles pop up out of nowhere and I am unable to do anything at that point. When it first started, all I had to do was restart the laptop. Now no matter what I do it doesn't go away, I called Microsoft to see what they could do, I have them troubleshoot over the phone while screen sharing with a tech only for them to crash the laptop. I found a Microsoft office here in MN and I brought the laptop there to have it reboot only for them to tell me my files are all gone. I have only had this computer since April and at this point I am frustrated. All my school work, my apps for school, all gone. After Microsoft did what they, (wiping) the laptop, I went for it back since i needed it for school only for the issue to start back again even worse this time. I got this back only 2 weeks ago. I  very annoyed.",Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),527,dell
506,Maxsteel611@gmail. Com,2021,5,good,"This was a Christmas gift from my husband on the advice of our two sons. I use it for keeping church records, writing documents and just plain fun! I am still learning a lot about it's capabilities. Not used to the touch screen yet but I'll get there.",Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),527,dell
507,Maria Gonzalez,2020,4,Great deal for the price!,"WoW, what a deal on Amazon!  I bought this laptop for a customers of mine. She is a realtor and needed a newer laptop for business and she had no idea what to get. I knew she would need at least an i5 CPU and 8GB ram. Well not only does it have all of that but it also comes with an SSD Hard Drive!  Super nice laptop and with the touch screen it's perfect for her.",Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),527,dell
508,Victor F.,2019,4,Big scratch on the laptop,good,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),527,dell
509,Abhishek,2020,5,An amazing laptop overall.,I like the size of the monitor and the laptop in general.  Was not happy the keyboard did not have lighting.  When I type I tend to look at my keyboard,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),527,dell
510,Daisymae,2020,1,"HORRIBLE, EXTREMELY DISAPPOINTED!!!","I’ve received the laptop with a big scratch on it. The laptop itself  works fine well but I have to say it’s disappointing to get a brand new product like this, I was expecting to be better looked after.",Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),527,dell
511,H. Anderson,2019,5,One of the fastest laptops I've ever used.,"I love everything about the laptop, especially the SSD and touchscreen features. I purchased it mainly for general usage and also have easy accessibility to Microsoft applications. I just wish that the laptop had a feature that makes the keypad turn bright when the laptop is being used at night.",Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),527,dell
512,Ginny,2020,5,Perfect computer,This computer was exactly what was described. It can handle all my work. Startup and shutdown are quick. Keyboard is responsive and has eliminated the problems of being too sensitive.,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),527,dell
513,Brenda L Zeigler ,2020,4,That am satisfied in what I purchase,I didn't not buy the laptop for my own use It was a Christmas gift for some one,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),527,dell
514,Jose M Laguna,2019,4,The product is fine,Overall it is fine. what I did not like is the time it took to deliver waited too long.,Dell Inspiron 15.6 Inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB Ram | 256GB SSD | Bluetooth | WiFi | Windows 10 (Black),527,dell
